New Contact Identifier,Contact ID,Prefix,First Name,Middle Name,Last Name,Suffix,Gender,Employer,Is Active,State Contact ID,Exclude From State Reporting,PERSONCOREFIELDS.countryOfOrigin,PERSONCOREFIELDS.dob,PERSONCOREFIELDS.educationLevel,PERSONCOREFIELDS.employmentStatus,PERSONCOREFIELDS.govWorkLoc,PERSONCOREFIELDS.isAvailableAtWork,PERSONCOREFIELDS.isDeceased,PERSONCOREFIELDS.isOnActiveDuty,PERSONCOREFIELDS.livesOnBase,PERSONCOREFIELDS.maidenName,PERSONCOREFIELDS.militaryStatus,PERSONCOREFIELDS.needsInterpreterAssist,PERSONCOREFIELDS.occupation,PERSONCOREFIELDS.payGrade,PERSONCOREFIELDS.serviceBranch,PERSONCOREFIELDS.ssn,Email Address,Contact Email Address ID,Email Type,Is Primary Email Address,Extension,Is SMS,PHONENUMBERCOREFIELDS.isUnlisted,Contact Phone Number ID,phoneNumberAsEntered,Phone Type,Phone Number Priority Order,Is Preferred,Street,Line Two,Unit,City,State,Postal Code,Geocode Latitude,Geocode Longitude,PERSONADDRESSCOREFIELDS.addressVerification,PERSONADDRESSCOREFIELDS.county,PERSONADDRESSCOREFIELDS.isAddressVerified,PERSONADDRESSCOREFIELDS.line3,Contact Address ID,Address Type,Address Priority Order,Address Start Date,Address End Date,* NOT MAPPED *,studentNumber,Contact Priority Order,Student Contact ID,Student Contact Detail ID,Relationship Type,Original Contact Type,Relationship Note,Relationship Start Date,Relationship End Date,STUDENTCONTACTASSOCCOREFIELDS.legalGuardian,Contact Has Custody,Contact Lives With,Contact Allow School Pickup,Is Emergency Contact,Contact Receives Mailings,STUDENTCONTACTDETAILCOREFIELDS.classroomParticipation,STUDENTCONTACTDETAILCOREFIELDS.isCaregiver,STUDENTCONTACTDETAILCOREFIELDS.isVolunteer
JFC-866e78efb9d6a4df,,,Benjamin,,Alder,,,Aspen Valley Foods,1,JFC-866e78efb9d6a4df,,,,,,,,,,,,,,,,,,amelia.alder@prairiemail.example,,Current,1,,0,,,(971) 907-5657,Mobile,1,1,101 Aspen Grove,,,Aspen Crossing,MB,Z2P 8R0,,,,,,,,Home,1,,,"Alder, Amelia",3701,1,,,Father,Father,,,,0,0,0,0,0,0,,,
JFC-295ae14375408269,,,Caleb,,Alder,,,Aspen Valley Foods,1,JFC-295ae14375408269,,,,,,,,,,,,,,,,,,amelia.alder@prairiemail.example,,Current,1,,0,,,(971) 408-1146,Mobile,1,1,101 Aspen Grove,,,Aspen Crossing,MB,Z2P 8R0,,,,,,,,Home,1,,,"Alder, Amelia",3701,2,,,Mother,Mother,,,,0,0,0,0,0,0,,,
JFC-1d953d0d7ca706a7,,,Daniel,,Dalton,,,Cedar Works Cooperative,1,JFC-1d953d0d7ca706a7,,,,,,,,,,,,,,,,,,benjamin.dalton@prairiemail.example,,Current,1,,0,,,(971) 013-1185,Mobile,1,1,102 Birchwood Drive,,,Birch Harbour,MB,Z2P7T2,,,,,,,,Home,1,,,"Carver, Clara",3702,1,,,Father,Father,,,,0,0,0,0,0,0,,,
JFC-82aa8c2a535c78b2,,,Daniel,,Ellis,,,,1,JFC-82aa8c2a535c78b2,,,,,,,,,,,,,,,,,,benjamin.dalton@prairiemail.example,,Current,1,,0,,,(971) 048-6359,Mobile,1,1,102 Birchwood Drive,,,Birch Harbour,MB,Z2P7T2,,,,,,,,Home,1,,,"Carver, Clara",3702,2,,,Mother,Mother,,,,0,0,0,0,0,0,,,
JFC-35112dae5a541c89,,,Daniel,,Dalton,,,Clearwater Health Centre,1,JFC-35112dae5a541c89,,,,,,,,,,,,,,,,,,caleb.gibson@prairiemail.example,,Current,1,,0,,,(971) 013-1185,Mobile,1,1,103 Cedar Lane,,,Birch Harbour,MB,Z2P7T2,,,,,,,,Home,1,,,"Carver, Eleanor",3601,1,,,Father,Father,,,,0,0,0,0,0,0,,,
JFC-4bfe54f750d18a2e,,,Daniel,,Ellis,,,,1,JFC-4bfe54f750d18a2e,,,,,,,,,,,,,,,,,,caleb.gibson@prairiemail.example,,Current,1,,0,,,(971) 048-6359,Mobile,1,1,103 Cedar Lane,,,Birch Harbour,MB,Z2P7T2,,,,,,,,Home,1,,,"Carver, Eleanor",3601,2,,,Mother,Mother,,,,0,0,0,0,0,0,,,
JFC-76e0c93de5b7295c,,,Emma,,Hartwell,,,Elm Prairie Hardware,1,JFC-76e0c93de5b7295c,,,,,,,,,,,,,,,,,,clara.jensen@prairiemail.example,,Current,1,,0,,,(971) 058-0011,Mobile,1,1,104 Clearwater Road,,,Aspen Crossing,MB,Z2P 8P5,,,,,,,,Home,1,,,"Hartwell, Elias",3602,1,,,Father,Father,,,,0,0,0,0,0,0,,,
JFC-0162ccd24c2cb78b,,,Ethan,,Hartwell,,,Cedar Works Cooperative,1,JFC-0162ccd24c2cb78b,,,,,,,,,,,,,,,,,,clara.jensen@prairiemail.example,,Current,1,,0,,,(971) 069-5406,Mobile,1,1,104 Clearwater Road,,,Aspen Crossing,MB,Z2P 8P5,,,,,,,,Home,1,,,"Hartwell, Elias",3602,2,,,Mother,Mother,,,,0,0,0,0,0,0,,,
JFC-4c164b36ebb72302,,,Emma,,Hartwell,,,Fairview Accounting,1,JFC-4c164b36ebb72302,,,,,,,,,,,,,,,,,,daniel.mercer@prairiemail.example,,Current,1,,0,,,(971) 058-0011,Mobile,1,1,105 Cottonwood Crescent,,,Aspen Crossing,MB,Z2P8P5,,,,,,,,Home,1,,,"Hartwell, Grace",3401,1,,,Father,Father,,,,0,0,0,0,0,0,,,
JFC-385ca4fc5c127d7f,,,Ethan,,Hartwell,,,Cedar Works Cooperative,1,JFC-385ca4fc5c127d7f,,,,,,,,,,,,,,,,,,daniel.mercer@prairiemail.example,,Current,1,,0,,,(971) 069-5406,Mobile,1,1,105 Cottonwood Crescent,,,Aspen Crossing,MB,Z2P8P5,,,,,,,,Home,1,,,"Hartwell, Grace",3401,2,,,Mother,Mother,,,,0,0,0,0,0,0,,,
