Entry_Dates,First Name,Middle Name(s),Last Name,Student's Preferred Name (if different from legal first name),Gender,Birth Date,Current Grade,Applying For Grade,Early Years Program Selection,Middle Years Program Selection,Senior Years Program Selection,Street Address,Street Address Line 2,City,State / Province,Postal / Zip Code,Is your Mailing Address different than Physical Address?,Mailing Street Address,Mailing Street Address Line 2,Mailing City,Mailing State / Province,Mailing Postal / Zip Code,Citizenship Status,Have you attended a Manitoba school in the past?,Name of the last Manitoba school attended,Name of the school division,Church Attending,Denomination,MB Health # - 9 Digit,MB Health # - 6 Digit,Emergency Contact Name:,Emergency Contact Phone:,Allergies:,Medical Restrictions & Medications:,Father’s Surname,Father’s Given Name,Father's Address same as student,Father's Street Address,Father's Street Address Line 2,Father's City,Father's State / Province,Father's Postal / Zip Code,Father’s Workplace,Father’s Work Number,Father’s Cell Number,Father’s Email,Mother’s Surname,Mother’s Given Name,Mother's Address same as student,Mother's Street Address,Mother's Street Address Line 2,Mother's City,Mother's State / Province,Mother's Postal / Zip Code,Mother’s Workplace,Mother’s Work Number,Mother’s Cell Number,Mother’s Email,Student’s Parents Are,Student’s Parents - Other,Student Lives With,Student Lives With - Other,Custody Description,Custody Description - Other,Academic Support,Diagnosis/Assessments,Psychological Support,Name of Parent,Submission IP,Submission ID,Last Update Date
26-Aug-26,Amelia,,Alder,,Female,"May 23, 2018",1,2,Early Years Half Day (4 days per week),,,101 Aspen Grove,,Aspen Crossing,MB,Z2P 8R0,No,,,,,,Canadian Citizen,Yes,Aspen Ridge School,Aspen Valley School Division,Cedar Grove Community Church,Anabaptist,891 422 715,170647,Clara Hartwell,(971) 097-6171,,,Alder,Benjamin,Yes,,,,,,Aspen Valley Foods,(971) 907-5657,(971) 907-5657,amelia.alder@prairiemail.example,Alder,Caleb,Yes,,,,,,Aspen Valley Foods,,(971) 408-1146,amelia.alder@prairiemail.example,Married,,,,,,Receives reading support twice weekly line 1,None,None,Elias Osborne,192.0.2.1,3228660469955719743,
26-Aug-26,Clara,Bennett,Carver,Clara,Male,"Mar 26, 2017",1,2,,,,102 Birchwood Drive,,Birch Harbour,Manitoba,Z2P7T2,No,,,,,,Canadian Citizen,Yes,Cedar Glen Academy,Aspen Valley School Division,Clearwater Fellowship,Baptist,891256537,324893,Grace Vickers,(971) 069-3884,,,Dalton,Daniel,Yes,,,,,,Cedar Works Cooperative,(971) 013-1185,(971) 013-1185,benjamin.dalton@prairiemail.example,Ellis,Daniel,Yes,,,,,,,,(971) 048-6359,benjamin.dalton@prairiemail.example,Married,,,,,,None,None,None,Jonah Morrison,192.0.2.2,3206679105680382940,
26-Aug-26,Eleanor,Fletcher,Carver,Eleanor,Male,"Nov 14, 2016",2,3,,,,103 Cedar Lane,,Birch Harbour,Manitoba,Z2P7T2,No,,,,,,Canadian Citizen,Yes,Cedar Glen Academy,Aspen Valley School Division,Clearwater Fellowship,Baptist,891738892,324893,Jonah Morrison,(971) 048-6359,,,Dalton,Daniel,Yes,,,,,,Clearwater Health Centre,(971) 013-1185,(971) 013-1185,caleb.gibson@prairiemail.example,Ellis,Daniel,Yes,,,,,,,,(971) 048-6359,caleb.gibson@prairiemail.example,Married,,,,,,Uses an individualized classroom support plan line 1,Uses an individualized classroom support plan line 1,Uses an individualized classroom support plan line 1,Jonah Morrison,192.0.2.3,3206552303091711821,
26-Aug-26,Elias,Gibson,Hartwell,,Female,"Apr 27, 2017",2,3,Early Years Half Day (4 days per week),,,104 Clearwater Road,,Aspen Crossing,MB,Z2P 8P5,No,,,,,,Canadian Citizen,Yes,Aspen Ridge School,Clearwater Plains School Division,Elm Prairie Chapel,Christian Reformed,891843970,558607,Levi Fletcher,(971) 459-2660,None,None,Hartwell,Emma,Yes,,,,,,Elm Prairie Hardware,(971) 058-0011,(971) 058-0011,clara.jensen@prairiemail.example,Hartwell,Ethan,Yes,,,,,,Cedar Works Cooperative,(971) 069-5406,(971) 069-5406,clara.jensen@prairiemail.example,Married,,,,,,None,None,None,Naomi Mercer,192.0.2.4,3247811548588724790,
26-Aug-26,Grace,Iverson,Hartwell,,Female,"Dec 5, 2014",4,5,,Middle Years Music & Physical Education,,105 Cottonwood Crescent,,Aspen Crossing,MB,Z2P8P5,No,,,,,,Canadian Citizen,Yes,Aspen Ridge School,Lake Country School Division,Gracefield Church,Christian Reformed,890163863,558607,Levi Fletcher,(971) 459-2660,None,None,Hartwell,Emma,Yes,,,,,,Fairview Accounting,(971) 058-0011,(971) 058-0011,daniel.mercer@prairiemail.example,Hartwell,Ethan,Yes,,,,,,Cedar Works Cooperative,(971) 069-5406,(971) 069-5406,daniel.mercer@prairiemail.example,Married,,,,,,None,None,None,Naomi Mercer,192.0.2.5,3229719627583154349,
26-Aug-26,Hannah,Jensen,Hartwell,,Male,"Nov 13, 2018",1,2,Early Years Half Day (4 days per week),,,106 Elm Street,,Aspen Crossing,MB,Z2P8P5,No,,,,,,Canadian Citizen,Yes,Aspen Ridge School,Lake Country School Division,Gracefield Church,Christian Reformed,891548208,558607,Levi Fletcher,(971) 459-2660,None,None,Keller,Isaac,Yes,,,,,,Fairview Accounting,(971) 058-0011,(971) 058-0011,eleanor.palmer@prairiemail.example,Hartwell,Ethan,Yes,,,,,,Cedar Works Cooperative,(971) 069-5406,(971) 069-5406,eleanor.palmer@prairiemail.example,Married,,,,,,None,None,None,Naomi Mercer,192.0.2.6,3229706137588304887,
26-Aug-26,Jonah,Langford,Mercer,,Female,"Jan 19, 2014",,6,,Middle Years Music & Physical Education,,107 Fairview Avenue,,Aspen Crossing,MB,Z2P9J3,No,,,,,,Canadian Citizen,Yes,Clearwater Elementary,,Harvest Community Fellowship,,890013389,390963,Oliver Turner,(971) 447-8116,,,Nolan,Julia,Yes,,,,,,Cedar Works Cooperative,,(971) 469-1111,elias.sawyer@prairiemail.example,Nolan,Leah,Yes,,,,,,Clearwater Health Centre,,(971) 147-1272,elias.sawyer@prairiemail.example,Married,,,,,,None,None,None,Simon Collins,192.0.2.7,3396490995856129268,
26-Aug-26,Levi,Gibson,Osborne,,Female,"Feb 3, 2016",2,3,Early Years Half Day (4 days per week),,,108 Harvest Lane,,Cedar Glen,MB,Z7K 7Z7,Yes,108 Harvest Lane,,Cedar Glen,Manitoba,Z7K 7Z7,Canadian Citizen,Yes,Elm Prairie School,Clearwater Plains School Division,Lakeview Community Church,,891025455,112870,Victoria Dalton,(971) 058-1316,,,Osborne,Lucas,Yes,,,,,,Golden Fields Farms,,(971) 058-4693,emma.vickers@prairiemail.example,Osborne,Maya,Yes,,,,,,Elm Prairie Hardware,,(971) 058-0108,emma.vickers@prairiemail.example,Married,,,,,,Benefits from written instructions and additional processing time line 1,None,None,Amelia Keller,192.0.2.8,3243881556790775366,
26-Aug-26,Naomi,Palmer,Quincy,,Male,"Aug 8, 2018",1,2,Early Years Half Day (4 days per week),,,109 Lakeview Drive,,Clearwater Bend,MB,Z7K7E8,No,,,,,,Canadian Citizen,No,,,North Willow Chapel,Evangelical Free,892790022,736506,Clara Reeves,(971) 069-0299,None,None,Quincy,Nathan,Yes,,,,,,Cedar Works Cooperative,,(108) 033-7103,ethan.zimmer@prairiemail.example,Quincy,Nora,Yes,,,,,,Fairview Accounting,,(971) 069-0744,ethan.zimmer@prairiemail.example,Married,,,,,,None,None,None,Elias Zimmer,192.0.2.9,3244592895994668197,
26-Aug-26,Oliver,Reeves,Quincy,,Female,"Dec 17, 2015",3,4,Early Years Half Day (4 days per week),,,110 Maple Bay,,Clearwater Bend,MB,Z7K7E8,No,,,,,,Canadian Citizen,No,,,North Willow Chapel,Evangelical Free,890569015,736506,Clara Reeves,(971) 069-0299,No know Allergies,,Quincy,Nathan,Yes,,,,,,Cedar Works Cooperative,,(108) 033-7103,grace.foster@prairiemail.example,Quincy,Nora,Yes,,,,,,Fairview Accounting,,(971) 069-0744,grace.foster@prairiemail.example,Married,,,,,,None,None,None,Grace Bennett,192.0.2.10,3244597685993704105,
